Number airports;Time (ms)
2;43.654
3;33.720
4;27.218
5;23.778
6;21.800
7;21.150
8;19.118
9;19.409
10;18.723
11;16.652
12;16.367
13;16.727
14;16.777
15;15.839
16;14.822
17;16.058
18;15.395
19;15.014
20;14.403
21;14.051
22;13.764
23;14.880
24;13.696
25;13.787
26;14.511
27;14.199
28;14.254
29;14.218
30;13.725
